date,FEDFUNDS,DGS10,DGS2,T10Y3M,T10Y2Y,DFII10,WALCL,M2SL,UNRATE,INDPRO,UMCSENT,BAMLH0A0HYM2,VIXCLS,NFCI
1919-01-31,,,,,,,,,,4.8739,,,,
1919-02-28,,,,,,,,,,4.6585,,,,
1919-03-31,,,,,,,,,,4.5238,,,,
1919-04-30,,,,,,,,,,4.6046,,,,
1919-05-31,,,,,,,,,,4.6315,,,,
1919-06-30,,,,,,,,,,4.9277,,,,
1919-07-31,,,,,,,,,,5.2239,,,,
1919-08-31,,,,,,,,,,5.3047,,,,
1919-09-30,,,,,,,,,,5.197,,,,
1919-10-31,,,,,,,,,,5.1432,,,,
1919-11-30,,,,,,,,,,5.0624,,,,
1919-12-31,,,,,,,,,,5.1432,,,,
1920-01-31,,,,,,,,,,5.6279,,,,
1920-02-29,,,,,,,,,,5.6279,,,,
1920-03-31,,,,,,,,,,5.5201,,,,
1920-04-30,,,,,,,,,,5.2239,,,,
1920-05-31,,,,,,,,,,5.3586,,,,
1920-06-30,,,,,,,,,,5.4124,,,,
1920-07-31,,,,,,,,,,5.2778,,,,
1920-08-31,,,,,,,,,,5.3047,,,,
1920-09-30,,,,,,,,,,5.1162,,,,
1920-10-31,,,,,,,,,,4.9008,,,,
1920-11-30,,,,,,,,,,4.4969,,,,
1920-12-31,,,,,,,,,,4.2276,,,,
1921-01-31,,,,,,,,,,3.9853,,,,
1921-02-28,,,,,,,,,,3.9045,,,,
1921-03-31,,,,,,,,,,3.7968,,,,
1921-04-30,,,,,,,,,,3.7968,,,,
1921-05-31,,,,,,,,,,3.9045,,,,
1921-06-30,,,,,,,,,,3.8776,,,,
1921-07-31,,,,,,,,,,3.8506,,,,
1921-08-31,,,,,,,,,,3.9853,,,,
1921-09-30,,,,,,,,,,4.0122,,,,
1921-10-31,,,,,,,,,,4.2545,,,,
1921-11-30,,,,,,,,,,4.2007,,,,
1921-12-31,,,,,,,,,,4.1738,,,,
1922-01-31,,,,,,,,,,4.3353,,,,
1922-02-28,,,,,,,,,,4.5238,,,,
1922-03-31,,,,,,,,,,4.7662,,,,
1922-04-30,,,,,,,,,,4.6046,,,,
1922-05-31,,,,,,,,,,4.847,,,,
1922-06-30,,,,,,,,,,5.0893,,,,
1922-07-31,,,,,,,,,,5.0893,,,,
1922-08-31,,,,,,,,,,4.9816,,,,
1922-09-30,,,,,,,,,,5.2509,,,,
1922-10-31,,,,,,,,,,5.5471,,,,
1922-11-30,,,,,,,,,,5.7894,,,,
1922-12-31,,,,,,,,,,5.951,,,,
1923-01-31,,,,,,,,,,5.8163,,,,
1923-02-28,,,,,,,,,,5.8971,,,,
1923-03-31,,,,,,,,,,6.0856,,,,
1923-04-30,,,,,,,,,,6.2203,,,,
1923-05-31,,,,,,,,,,6.301,,,,
1923-06-30,,,,,,,,,,6.2472,,,,
1923-07-31,,,,,,,,,,6.1933,,,,
1923-08-31,,,,,,,,,,6.0856,,,,
1923-09-30,,,,,,,,,,5.951,,,,
1923-10-31,,,,,,,,,,5.9241,,,,
1923-11-30,,,,,,,,,,5.9241,,,,
1923-12-31,,,,,,,,,,5.7894,,,,
1924-01-31,,,,,,,,,,5.924,,,,
1924-02-29,,,,,,,,,,6.0318,,,,
1924-03-31,,,,,,,,,,5.9241,,,,
1924-04-30,,,,,,,,,,5.7356,,,,
1924-05-31,,,,,,,,,,5.4932,,,,
1924-06-30,,,,,,,,,,5.2509,,,,
1924-07-31,,,,,,,,,,5.1701,,,,
1924-08-31,,,,,,,,,,5.3586,,,,
1924-09-30,,,,,,,,,,5.5471,,,,
1924-10-31,,,,,,,,,,5.6817,,,,
1924-11-30,,,,,,,,,,5.7894,,,,
1924-12-31,,,,,,,,,,5.951,,,,
1925-01-31,,,,,,,,,,6.1395,,,,
1925-02-28,,,,,,,,,,6.1395,,,,
1925-03-31,,,,,,,,,,6.1395,,,,
1925-04-30,,,,,,,,,,6.1933,,,,
1925-05-31,,,,,,,,,,6.1664,,,,
1925-06-30,,,,,,,,,,6.1125,,,,
1925-07-31,,,,,,,,,,6.2741,,,,
1925-08-31,,,,,,,,,,6.1664,,,,
1925-09-30,,,,,,,,,,6.0856,,,,
1925-10-31,,,,,,,,,,6.328,,,,
1925-11-30,,,,,,,,,,6.4626,,,,
1925-12-31,,,,,,,,,,6.5434,,,,
1926-01-31,,,,,,,,,,6.4357,,,,
1926-02-28,,,,,,,,,,6.4357,,,,
1926-03-31,,,,,,,,,,6.5165,,,,
1926-04-30,,,,,,,,,,6.5165,,,,
1926-05-31,,,,,,,,,,6.4626,,,,
1926-06-30,,,,,,,,,,6.5434,,,,
1926-07-31,,,,,,,,,,6.5703,,,,
1926-08-31,,,,,,,,,,6.6511,,,,
1926-09-30,,,,,,,,,,6.7588,,,,
1926-10-31,,,,,,,,,,6.7588,,,,
1926-11-30,,,,,,,,,,6.7319,,,,
1926-12-31,,,,,,,,,,6.705,,,,
1927-01-31,,,,,,,,,,6.678,,,,
1927-02-28,,,,,,,,,,6.7319,,,,
1927-03-31,,,,,,,,,,6.8127,,,,
1927-04-30,,,,,,,,,,6.6511,,,,
1927-05-31,,,,,,,,,,6.705,,,,
1927-06-30,,,,,,,,,,6.678,,,,
1927-07-31,,,,,,,,,,6.5972,,,,
1927-08-31,,,,,,,,,,6.5972,,,,
1927-09-30,,,,,,,,,,6.4895,,,,
1927-10-31,,,,,,,,,,6.3549,,,,
1927-11-30,,,,,,,,,,6.3549,,,,
1927-12-31,,,,,,,,,,6.3818,,,,
1928-01-31,,,,,,,,,,6.5165,,,,
1928-02-29,,,,,,,,,,6.5703,,,,
1928-03-31,,,,,,,,,,6.6242,,,,
1928-04-30,,,,,,,,,,6.5972,,,,
1928-05-31,,,,,,,,,,6.678,,,,
1928-06-30,,,,,,,,,,6.7319,,,,
1928-07-31,,,,,,,,,,6.8127,,,,
1928-08-31,,,,,,,,,,6.9473,,,,
1928-09-30,,,,,,,,,,7.0012,,,,
1928-10-31,,,,,,,,,,7.1358,,,,
1928-11-30,,,,,,,,,,7.2704,,,,
1928-12-31,,,,,,,,,,7.4051,,,,
1929-01-31,,,,,,,,,,7.5128,,,,
1929-02-28,,,,,,,,,,7.4858,,,,
1929-03-31,,,,,,,,,,7.5128,,,,
1929-04-30,,,,,,,,,,7.6474,,,,
1929-05-31,,,,,,,,,,7.7821,,,,
1929-06-30,,,,,,,,,,7.8359,,,,
1929-07-31,,,,,,,,,,7.9436,,,,
1929-08-31,,,,,,,,,,7.8628,,,,
1929-09-30,,,,,,,,,,7.809,,,,
1929-10-31,,,,,,,,,,7.6743,,,,
1929-11-30,,,,,,,,,,7.2974,,,,
1929-12-31,,,,,,,,,,6.9742,,,,
1930-01-31,,,,,,,,,,6.9742,,,,
1930-02-28,,,,,,,,,,6.9473,,,,
1930-03-31,,,,,,,,,,6.8396,,,,
1930-04-30,,,,,,,,,,6.7857,,,,
1930-05-31,,,,,,,,,,6.678,,,,
1930-06-30,,,,,,,,,,6.4895,,,,
1930-07-31,,,,,,,,,,6.1933,,,,
1930-08-31,,,,,,,,,,6.0587,,,,
1930-09-30,,,,,,,,,,5.951,,,,
1930-10-31,,,,,,,,,,5.7894,,,,
1930-11-30,,,,,,,,,,5.6548,,,,
1930-12-31,,,,,,,,,,5.5201,,,,
1931-01-31,,,,,,,,,,5.4932,,,,
1931-02-28,,,,,,,,,,5.5201,,,,
1931-03-31,,,,,,,,,,5.6279,,,,
1931-04-30,,,,,,,,,,5.6548,,,,
1931-05-31,,,,,,,,,,5.574,,,,
1931-06-30,,,,,,,,,,5.4394,,,,
1931-07-31,,,,,,,,,,5.3586,,,,
1931-08-31,,,,,,,,,,5.1701,,,,
1931-09-30,,,,,,,,,,4.9277,,,,
1931-10-31,,,,,,,,,,4.7392,,,,
1931-11-30,,,,,,,,,,4.6854,,,,
1931-12-31,,,,,,,,,,4.6585,,,,
1932-01-31,,,,,,,,,,4.5238,,,,
1932-02-29,,,,,,,,,,4.4161,,,,
1932-03-31,,,,,,,,,,4.3623,,,,
1932-04-30,,,,,,,,,,4.0661,,,,
1932-05-31,,,,,,,,,,3.9314,,,,
1932-06-30,,,,,,,,,,3.7968,,,,
1932-07-31,,,,,,,,,,3.6891,,,,
1932-08-31,,,,,,,,,,3.7968,,,,
1932-09-30,,,,,,,,,,4.0391,,,,
